0.00, -23.07, 0.26 
0.18, -19.28, 1.69 
0.46, -19.05, 11.15 
0.15, -30.10, 9.36 
0.01, -31.40, 7.70 
0.21, -21.69, 9.75 
0.51, -19.18, 12.54 
0.46, -20.88, 13.31 
0.46, -19.18, 11.69 
0.35, -22.33, 11.70 
0.33, -21.03, 11.28 
0.32, -22.95, 11.98 
0.45, -22.00, 13.24 
0.48, -18.54, 12.05 
0.49, -18.45, 11.77 
0.29, -20.92, 11.15 
0.43, -20.07, 11.86 
0.54, -18.77, 12.61 
0.51, -20.43, 12.95 
0.33, -21.92, 10.72 
0.52, -17.86, 12.01 
0.49, -19.93, 12.97 
0.35, -21.31, 11.52 
0.47, -17.04, 11.94 
0.66, -13.64, 10.11 
0.63, -12.93, 9.78 
0.89, -8.47, 8.22 
0.72, -13.82, 11.68 
0.91, -8.99, 7.26 
0.58, -15.67, 10.65 
0.73, -10.45, 8.32 
0.54, -14.53, 9.49 
0.85, -9.29, 9.09 
0.84, -8.86, 7.36 
0.86, -8.50, 8.41 
0.95, -7.15, 5.53 
0.94, -7.15, 6.17 
0.26, -17.60, 8.39 
0.38, -15.70, 7.59 
0.49, -12.45, 7.73 
0.68, -9.96, 6.96 
0.80, -9.00, 7.54 
0.95, -6.49, 5.52 
0.47, -12.95, 7.51 
1.00, -5.28, 1.26 
0.47, -12.72, 7.78 
0.53, -12.33, 7.33 
0.73, -9.05, 7.35 
0.70, -9.38, 7.01 
0.89, -7.64, 6.40 
0.66, -9.74, 7.43 
0.94, -5.94, 3.66 
0.48, -12.54, 7.81 
0.99, -5.42, 2.76 
1.00, -5.19, 1.40 
1.00, -5.27, 1.16 
0.67, -9.91, 7.13 
0.94, -6.70, 5.74 
0.88, -6.83, 5.44 
0.92, -7.10, 6.38 
0.99, -5.24, 2.56 
1.00, -5.24, 1.08 
0.81, -10.07, 9.12 
0.75, -8.68, 6.61 
1.00, -5.11, 1.25 
1.00, -5.57, 1.56 
1.00, -5.05, 1.10 
0.99, -5.64, 2.69 
1.00, -5.39, 1.13 
0.98, -5.86, 3.39 
1.00, -5.22, 1.17 
1.00, -5.24, 0.91 
1.00, -5.05, 1.09 
1.00, -5.50, 1.01 
1.00, -5.48, 1.09 
1.00, -5.19, 1.19 
1.00, -5.22, 1.10 
0.99, -5.41, 1.88 
1.00, -5.27, 1.16 
1.00, -5.58, 1.12 
1.00, -5.49, 1.32 
1.00, -5.43, 0.99 
1.00, -5.52, 1.28 
1.00, -5.37, 1.07 
1.00, -5.32, 1.29 
1.00, -5.47, 1.15 
1.00, -5.29, 1.11 
1.00, -5.58, 1.03 
1.00, -5.45, 1.19 
0.88, -7.55, 6.00 
0.99, -5.71, 1.83 
1.00, -5.46, 1.09 
1.00, -5.25, 1.16 
1.00, -5.10, 1.00 
0.99, -5.55, 2.65 
1.00, -5.53, 1.15 
1.00, -5.33, 1.18 
1.00, -5.20, 1.02 
1.00, -5.60, 1.33 
1.00, -5.20, 1.10 
1.00, -5.51, 0.97 
0.99, -5.92, 2.74 
1.00, -5.48, 1.20 
0.98, -6.06, 2.38 
1.00, -5.47, 1.15 
1.00, -5.45, 1.10 
0.96, -6.49, 4.25 
1.00, -5.60, 1.33 
1.00, -5.21, 1.12 
0.99, -6.07, 3.35 
1.00, -5.90, 1.20 
1.00, -7.48, 2.18 
1.00, -5.62, 1.16 
1.00, -5.66, 1.57 
1.00, -5.59, 1.14 
1.00, -5.84, 1.29 
1.00, -5.17, 1.16 
1.00, -5.24, 1.19 
1.00, -5.49, 1.26 
1.00, -5.34, 1.13 
1.00, -5.45, 1.47 
1.00, -5.40, 1.27 
1.00, -5.36, 1.33 
1.00, -5.59, 1.19 
0.97, -6.03, 3.99 
1.00, -5.37, 1.12 
1.00, -5.34, 1.06 
0.99, -5.47, 3.12 
1.00, -5.34, 1.19 
1.00, -5.45, 1.14 
1.00, -6.39, 2.15 
1.00, -5.33, 1.15 
1.00, -5.32, 1.26 
1.00, -5.27, 1.10 
1.00, -5.38, 1.21 
1.00, -5.08, 1.30 
1.00, -5.30, 1.13 
1.00, -5.41, 1.32 
1.00, -5.24, 1.11 
0.99, -5.38, 1.88 
0.94, -8.56, 6.08 
1.00, -5.11, 0.95 
1.00, -5.27, 1.20 
1.00, -5.13, 1.09 
1.00, -5.40, 1.21 
1.00, -5.30, 1.15 
0.99, -5.59, 2.69 
1.00, -5.36, 1.08 
1.00, -4.91, 1.18 
1.00, -5.34, 1.13 
1.00, -5.43, 1.20 
1.00, -5.14, 1.10 
1.00, -5.08, 1.06 
1.00, -5.83, 1.86 
1.00, -5.57, 1.61 
1.00, -5.58, 1.50 
1.00, -5.21, 1.11 
1.00, -5.57, 1.22 
1.00, -5.21, 1.26 
1.00, -5.45, 1.24 
1.00, -5.28, 1.18 
0.99, -5.41, 2.66 
0.98, -5.53, 4.07 
0.98, -5.63, 3.96 
0.99, -5.68, 3.52 
1.00, -5.45, 1.21 
1.00, -5.55, 1.20 
1.00, -5.50, 1.27 
1.00, -5.22, 1.14 
0.99, -6.37, 3.04 
1.00, -5.40, 1.28 
1.00, -5.26, 1.05 
1.00, -5.32, 1.21 
1.00, -5.57, 1.15 
